feature
actual_residual_load
forecasted_residual_load
actual_biomass
actual_hydropower
actual_wind_offshore
actual_wind_onshore
actual_solar
actual_lignite
actual_hard_coal
actual_fossil_gas
actual_wind_total
forecasted_solar_wind_total
forecasted_wind_offshore
forecasted_wind_onshore
forecasted_solar
forecasted_wind_total
dayofweek
month
lag_24
lag_48
lag_168
rolling_mean_24
actual_renewable_total
actual_fossil_total
actual_residual_load_lag_24
actual_residual_load_lag_48
actual_residual_load_lag_168
actual_wind_total_lag_24
actual_wind_total_lag_168
actual_fossil_total_lag_24
actual_fossil_total_lag_48
actual_fossil_total_lag_168
